expense_share_id,expense_id,trip_id,traveler_id,lender_traveler_id,trip,reason,expense_date,expense_type,product,currency,exchange_rate,expense_amount_original,expense_amount_lps,expense_amount_usd,is_shared_expense,participant_count,share_original,share_lps,share_usd
E0001_P001,E0001,T002,P001,P002,SPS Sep 2026,Airbnb,2026-09-04,Amenidades,Airbnb,$,27.0,260.19,7025.13,260.19,true,4,65.0475,1756.2825,65.0475
E0001_P002,E0001,T002,P002,P002,SPS Sep 2026,Airbnb,2026-09-04,Amenidades,Airbnb,$,27.0,260.19,7025.13,260.19,true,4,65.0475,1756.2825,65.0475
E0001_P003,E0001,T002,P003,P002,SPS Sep 2026,Airbnb,2026-09-04,Amenidades,Airbnb,$,27.0,260.19,7025.13,260.19,true,4,65.0475,1756.2825,65.0475
E0001_P004,E0001,T002,P004,P002,SPS Sep 2026,Airbnb,2026-09-04,Amenidades,Airbnb,$,27.0,260.19,7025.13,260.19,true,4,65.0475,1756.2825,65.0475
E0002_P001,E0002,T002,P001,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,BAC MUSH M,L,27.0,239.0,239.0,8.851851851851851,false,1,239.0,239.0,8.851851851851851
E0003_P002,E0003,T002,P002,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,DAVE C,L,27.0,219.0,219.0,8.11111111111111,false,1,219.0,219.0,8.11111111111111
E0004_P001,E0004,T002,P001,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,AGRANDADO,L,27.0,26.0,26.0,0.9629629629629628,false,1,26.0,26.0,0.9629629629629628
E0005_P003,E0005,T002,P003,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,"#8 10 NUGG",L,27.0,189.0,189.0,7.0,false,1,189.0,189.0,7.0
E0006_P004,E0006,T002,P004,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,WRAPS POLL,L,27.0,199.0,199.0,7.37037037037037,false,1,199.0,199.0,7.37037037037037
E0007_P004,E0007,T002,P004,P002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,QUESIHAMBU,L,27.0,149.0,149.0,5.518518518518518,false,1,149.0,149.0,5.518518518518518
E0008_P001,E0008,T002,P001,P004,SPS Sep 2026,Pedidos Ya,2026-09-04,Compras Super,Agua y Fresco,L,27.0,351.31,351.31,13.011481481481482,true,4,87.8275,87.8275,3.2528703703703705
E0008_P002,E0008,T002,P002,P004,SPS Sep 2026,Pedidos Ya,2026-09-04,Compras Super,Agua y Fresco,L,27.0,351.31,351.31,13.011481481481482,true,4,87.8275,87.8275,3.2528703703703705
E0008_P003,E0008,T002,P003,P004,SPS Sep 2026,Pedidos Ya,2026-09-04,Compras Super,Agua y Fresco,L,27.0,351.31,351.31,13.011481481481482,true,4,87.8275,87.8275,3.2528703703703705
E0008_P004,E0008,T002,P004,P004,SPS Sep 2026,Pedidos Ya,2026-09-04,Compras Super,Agua y Fresco,L,27.0,351.31,351.31,13.011481481481482,true,4,87.8275,87.8275,3.2528703703703705
E0009_P002,E0009,T002,P002,P002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Caffe Latte 12 Oz,L,27.0,95.0,95.0,3.5185185185185186,false,1,95.0,95.0,3.5185185185185186
E0010_P004,E0010,T002,P004,P002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Caffe Latte 16 Oz,L,27.0,77.0,77.0,2.851851851851852,false,1,77.0,77.0,2.851851851851852
E0011_P001,E0011,T002,P001,P002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Americano Frio de 12 Oz,L,27.0,50.0,50.0,1.851851851851852,false,1,50.0,50.0,1.851851851851852
E0012_P004,E0012,T002,P004,P002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,English Muffin Salchicha y Huevo,L,27.0,71.0,71.0,2.6296296296296298,false,1,71.0,71.0,2.6296296296296298
E0013_P003,E0013,T002,P003,P002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Refresher Fresa Con Limon 16 Oz,L,27.0,80.0,80.0,2.962962962962963,false,1,80.0,80.0,2.962962962962963
E0014_P002,E0014,T002,P002,P002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Filete de pez,L,27.0,350.0,350.0,12.962962962962964,false,1,350.0,350.0,12.962962962962964
E0015_P002,E0015,T002,P002,P002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,false,1,35.0,35.0,1.2962962962962965
E0016_P004,E0016,T002,P004,P002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,false,1,35.0,35.0,1.2962962962962965
E0017_P003,E0017,T002,P003,P002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,false,1,35.0,35.0,1.2962962962962965
