expense_id,trip_id,trip,reason,expense_date,expense_type,product,currency,exchange_rate,amount_original,amount_lps,amount_usd,lender_traveler_id,debtor_traveler_id,is_shared_expense
E0001,T002,SPS Sep 2026,Airbnb,2026-09-04,Amenidades,Airbnb,$,27.0,260.19,7025.13,260.19,P002,,True
E0002,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,BAC MUSH M,L,27.0,239.0,239.0,8.851851851851851,P002,P001,False
E0003,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,DAVE C,L,27.0,219.0,219.0,8.11111111111111,P002,P002,False
E0004,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,AGRANDADO,L,27.0,26.0,26.0,0.9629629629629628,P002,P001,False
E0005,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,#8 10 NUGG,L,27.0,189.0,189.0,7.0,P002,P003,False
E0006,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,WRAPS POLL,L,27.0,199.0,199.0,7.37037037037037,P002,P004,False
E0007,T002,SPS Sep 2026,Wendys,2026-09-04,Restaurantes,QUESIHAMBU,L,27.0,149.0,149.0,5.518518518518518,P002,P004,False
E0008,T002,SPS Sep 2026,Pedidos Ya,2026-09-04,Compras Super,Agua y Fresco,L,27.0,351.31,351.31,13.011481481481482,P004,,True
E0009,T002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Caffe Latte 12 Oz,L,27.0,95.0,95.0,3.5185185185185186,P002,P002,False
E0010,T002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Caffe Latte 16 Oz,L,27.0,77.0,77.0,2.851851851851852,P002,P004,False
E0011,T002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Americano Frio de 12 Oz,L,27.0,50.0,50.0,1.851851851851852,P002,P001,False
E0012,T002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,English Muffin Salchicha y Huevo,L,27.0,71.0,71.0,2.6296296296296298,P002,P004,False
E0013,T002,SPS Sep 2026,Expresso Americano,2026-09-05,Restaurantes,Refresher Fresa Con Limon 16 Oz,L,27.0,80.0,80.0,2.962962962962963,P002,P003,False
E0014,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Filete de pez,L,27.0,350.0,350.0,12.962962962962964,P002,P002,False
E0015,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,P002,P002,False
E0016,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,P002,P004,False
E0017,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Zero,L,27.0,35.0,35.0,1.2962962962962965,P002,P003,False
E0018,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Hamburguesa,L,27.0,250.0,250.0,9.25925925925926,P002,P003,False
E0019,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Pollo,L,27.0,230.0,230.0,8.518518518518519,P002,P004,False
E0020,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Coca Normal,L,27.0,35.0,35.0,1.2962962962962965,P002,P001,False
E0021,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Camarón,L,27.0,330.0,330.0,12.22222222222222,P002,P001,False
E0022,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Michelada,L,27.0,160.0,160.0,5.925925925925926,P002,P001,False
E0023,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Agua,L,27.0,35.0,35.0,1.2962962962962965,P002,P004,False
E0024,T002,SPS Sep 2026,Brisa Marina,2026-09-05,Restaurantes,Propina,L,27.0,50.0,50.0,1.851851851851852,P002,,True
E0025,T002,SPS Sep 2026,Playa,2026-09-05,Entretenimiento,Entrada Playa,L,27.0,400.0,400.0,14.814814814814817,P001,,True
E0026,T002,SPS Sep 2026,Cover,2026-09-05,Entretenimiento,JB+1D,L,27.0,600.0,600.0,22.22222222222222,P002,,True
E0027,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,NACHOS,L,27.0,250.0,250.0,9.25925925925926,P002,,True
E0028,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,SALVA VIDA 1,L,27.0,210.0,210.0,7.777777777777778,P002,P001,False
E0029,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,SALVA VIDA 2,L,27.0,210.0,210.0,7.777777777777778,P002,P004,False
E0030,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,BOTE CON AGUA 1,L,27.0,75.0,75.0,2.7777777777777777,P002,P004,False
